Current lr 0.01
Epoch:[0][13000/28412]	Time 0.165 (1.359)	Data 0.000 (1.161)	Loss 0.003 (0.014)	Accuracy 0.999 (0.996)	Precison 0.974 (0.962)	Recall 1.000 (0.934)
Epoch:[0][13200/28412]	Time 0.198 (1.356)	Data 0.000 (1.158)	Loss 0.007 (0.013)	Accuracy 0.999 (0.996)	Precison 1.000 (0.962)	Recall 0.976 (0.934)
Epoch:[0][13400/28412]	Time 0.181 (1.354)	Data 0.000 (1.156)	Loss 0.015 (0.013)	Accuracy 0.997 (0.996)	Precison 0.956 (0.962)	Recall 0.989 (0.935)
Epoch:[0][13600/28412]	Time 0.165 (1.350)	Data 0.000 (1.153)	Loss 0.005 (0.013)	Accuracy 0.998 (0.996)	Precison 0.993 (0.963)	Recall 0.964 (0.935)
Epoch:[0][13800/28412]	Time 0.167 (1.348)	Data 0.000 (1.151)	Loss 0.006 (0.013)	Accuracy 0.998 (0.996)	Precison 1.000 (0.963)	Recall 0.972 (0.936)
Epoch:[0][14000/28412]	Time 0.281 (1.345)	Data 0.000 (1.148)	Loss 0.003 (0.013)	Accuracy 0.999 (0.996)	Precison 1.000 (0.963)	Recall 0.992 (0.937)
Epoch:[0][14200/28412]	Time 0.165 (1.342)	Data 0.000 (1.146)	Loss 0.005 (0.013)	Accuracy 0.999 (0.996)	Precison 1.000 (0.964)	Recall 0.978 (0.937)
Epoch:[0][14400/28412]	Time 0.217 (1.340)	Data 0.000 (1.143)	Loss 0.003 (0.013)	Accuracy 0.999 (0.996)	Precison 0.996 (0.964)	Recall 0.996 (0.937)
Epoch:[0][14600/28412]	Time 0.161 (1.338)	Data 0.000 (1.142)	Loss 0.006 (0.013)	Accuracy 0.998 (0.996)	Precison 0.995 (0.964)	Recall 0.979 (0.938)
Epoch:[0][14800/28412]	Time 0.166 (1.335)	Data 0.000 (1.139)	Loss 0.002 (0.013)	Accuracy 1.000 (0.996)	Precison 0.995 (0.964)	Recall 1.000 (0.938)
Epoch:[0][15000/28412]	Time 0.193 (1.333)	Data 0.000 (1.138)	Loss 0.009 (0.013)	Accuracy 0.998 (0.996)	Precison 1.000 (0.965)	Recall 0.974 (0.939)
Epoch:[0][15200/28412]	Time 0.157 (1.331)	Data 0.000 (1.135)	Loss 0.011 (0.013)	Accuracy 0.998 (0.996)	Precison 0.990 (0.965)	Recall 0.986 (0.939)
Epoch:[0][15400/28412]	Time 0.176 (1.329)	Data 0.000 (1.133)	Loss 0.007 (0.013)	Accuracy 0.998 (0.996)	Precison 0.997 (0.965)	Recall 0.988 (0.940)
Epoch:[0][15600/28412]	Time 0.165 (1.327)	Data 0.000 (1.132)	Loss 0.012 (0.013)	Accuracy 0.996 (0.996)	Precison 0.975 (0.965)	Recall 0.868 (0.940)
Epoch:[0][15800/28412]	Time 0.176 (1.325)	Data 0.000 (1.130)	Loss 0.006 (0.013)	Accuracy 0.999 (0.996)	Precison 1.000 (0.965)	Recall 0.955 (0.940)
Epoch:[0][16000/28412]	Time 0.181 (1.323)	Data 0.000 (1.128)	Loss 0.010 (0.013)	Accuracy 0.998 (0.996)	Precison 0.975 (0.966)	Recall 0.988 (0.941)
Epoch:[0][16200/28412]	Time 0.192 (1.322)	Data 0.000 (1.127)	Loss 0.006 (0.013)	Accuracy 0.999 (0.996)	Precison 0.994 (0.966)	Recall 0.988 (0.941)
Epoch:[0][16400/28412]	Time 0.180 (1.320)	Data 0.000 (1.125)	Loss 0.005 (0.012)	Accuracy 0.998 (0.996)	Precison 0.995 (0.966)	Recall 0.979 (0.942)
Epoch:[0][16600/28412]	Time 0.171 (1.319)	Data 0.000 (1.124)	Loss 0.010 (0.012)	Accuracy 0.997 (0.996)	Precison 0.961 (0.966)	Recall 0.974 (0.942)
Epoch:[0][16800/28412]	Time 0.172 (1.317)	Data 0.000 (1.122)	Loss 0.006 (0.012)	Accuracy 0.997 (0.996)	Precison 1.000 (0.966)	Recall 0.952 (0.942)
Epoch:[0][17000/28412]	Time 0.192 (1.316)	Data 0.013 (1.121)	Loss 0.008 (0.012)	Accuracy 0.998 (0.996)	Precison 0.977 (0.967)	Recall 0.986 (0.943)
Epoch:[0][17200/28412]	Time 0.176 (1.315)	Data 0.000 (1.120)	Loss 0.009 (0.012)	Accuracy 0.998 (0.996)	Precison 0.984 (0.967)	Recall 0.993 (0.943)
Epoch:[0][17400/28412]	Time 0.188 (1.314)	Data 0.000 (1.119)	Loss 0.004 (0.012)	Accuracy 0.999 (0.996)	Precison 0.996 (0.967)	Recall 0.988 (0.943)
Epoch:[0][17600/28412]	Time 0.171 (1.313)	Data 0.000 (1.118)	Loss 0.004 (0.012)	Accuracy 0.999 (0.996)	Precison 0.996 (0.967)	Recall 0.988 (0.944)
Epoch:[0][17800/28412]	Time 0.253 (1.312)	Data 0.002 (1.118)	Loss 0.006 (0.012)	Accuracy 0.999 (0.996)	Precison 0.996 (0.967)	Recall 0.987 (0.944)
Epoch:[0][18000/28412]	Time 0.189 (1.311)	Data 0.013 (1.116)	Loss 0.015 (0.012)	Accuracy 0.998 (0.996)	Precison 1.000 (0.968)	Recall 0.968 (0.944)
Epoch:[0][18200/28412]	Time 0.176 (1.310)	Data 0.000 (1.115)	Loss 0.006 (0.012)	Accuracy 0.999 (0.996)	Precison 0.992 (0.968)	Recall 0.984 (0.945)
Epoch:[0][18400/28412]	Time 0.172 (1.309)	Data 0.000 (1.114)	Loss 0.016 (0.012)	Accuracy 0.998 (0.996)	Precison 0.991 (0.968)	Recall 0.988 (0.945)
Epoch:[0][18600/28412]	Time 0.176 (1.309)	Data 0.000 (1.114)	Loss 0.004 (0.012)	Accuracy 0.998 (0.996)	Precison 0.978 (0.968)	Recall 0.968 (0.945)
Epoch:[0][18800/28412]	Time 0.176 (1.308)	Data 0.000 (1.113)	Loss 0.003 (0.012)	Accuracy 0.999 (0.996)	Precison 1.000 (0.968)	Recall 0.982 (0.945)
Epoch:[0][19000/28412]	Time 0.218 (1.307)	Data 0.000 (1.112)	Loss 0.009 (0.012)	Accuracy 0.998 (0.996)	Precison 0.988 (0.968)	Recall 0.933 (0.946)
Epoch:[0][19200/28412]	Time 0.167 (1.306)	Data 0.000 (1.111)	Loss 0.007 (0.012)	Accuracy 0.998 (0.996)	Precison 0.992 (0.969)	Recall 0.969 (0.946)
Epoch:[0][19400/28412]	Time 0.211 (1.306)	Data 0.013 (1.111)	Loss 0.008 (0.012)	Accuracy 0.998 (0.996)	Precison 0.972 (0.969)	Recall 0.981 (0.946)
Epoch:[0][19600/28412]	Time 0.180 (1.304)	Data 0.000 (1.110)	Loss 0.005 (0.012)	Accuracy 0.998 (0.996)	Precison 0.985 (0.969)	Recall 0.990 (0.947)
Epoch:[0][19800/28412]	Time 0.170 (1.304)	Data 0.000 (1.109)	Loss 0.007 (0.012)	Accuracy 0.998 (0.996)	Precison 0.963 (0.969)	Recall 0.988 (0.947)
Epoch:[0][20000/28412]	Time 0.176 (1.303)	Data 0.000 (1.108)	Loss 0.004 (0.012)	Accuracy 0.999 (0.996)	Precison 1.000 (0.969)	Recall 0.984 (0.947)
Epoch:[0][20200/28412]	Time 0.175 (1.302)	Data 0.001 (1.108)	Loss 0.009 (0.012)	Accuracy 0.998 (0.997)	Precison 0.986 (0.969)	Recall 0.977 (0.947)
Epoch:[0][20400/28412]	Time 0.174 (1.301)	Data 0.000 (1.107)	Loss 0.004 (0.012)	Accuracy 0.998 (0.997)	Precison 0.992 (0.969)	Recall 0.988 (0.948)
Epoch:[0][20600/28412]	Time 0.178 (1.301)	Data 0.000 (1.106)	Loss 0.008 (0.012)	Accuracy 0.998 (0.997)	Precison 0.978 (0.970)	Recall 0.987 (0.948)
Epoch:[0][20800/28412]	Time 0.270 (1.300)	Data 0.000 (1.105)	Loss 0.005 (0.012)	Accuracy 0.998 (0.997)	Precison 1.000 (0.970)	Recall 0.966 (0.948)
Epoch:[0][21000/28412]	Time 0.171 (1.300)	Data 0.006 (1.105)	Loss 0.008 (0.012)	Accuracy 0.998 (0.997)	Precison 0.977 (0.970)	Recall 0.963 (0.948)
Epoch:[0][21200/28412]	Time 0.189 (1.299)	Data 0.000 (1.104)	Loss 0.007 (0.011)	Accuracy 0.997 (0.997)	Precison 0.993 (0.970)	Recall 0.975 (0.949)
Epoch:[0][21400/28412]	Time 0.177 (1.298)	Data 0.000 (1.103)	Loss 0.007 (0.011)	Accuracy 0.997 (0.997)	Precison 0.976 (0.970)	Recall 0.984 (0.949)
Epoch:[0][21600/28412]	Time 0.170 (1.297)	Data 0.000 (1.102)	Loss 0.005 (0.011)	Accuracy 0.999 (0.997)	Precison 0.985 (0.970)	Recall 0.995 (0.949)
Epoch:[0][21800/28412]	Time 0.250 (1.297)	Data 0.000 (1.102)	Loss 0.007 (0.011)	Accuracy 0.997 (0.997)	Precison 0.978 (0.970)	Recall 0.957 (0.949)
Epoch:[0][22000/28412]	Time 0.176 (1.296)	Data 0.001 (1.101)	Loss 0.010 (0.011)	Accuracy 0.997 (0.997)	Precison 1.000 (0.970)	Recall 0.935 (0.949)
Epoch:[0][22200/28412]	Time 0.289 (1.296)	Data 0.000 (1.101)	Loss 0.004 (0.011)	Accuracy 0.999 (0.997)	Precison 0.993 (0.971)	Recall 0.980 (0.950)
Epoch:[0][22400/28412]	Time 0.192 (1.295)	Data 0.000 (1.100)	Loss 0.014 (0.011)	Accuracy 0.998 (0.997)	Precison 1.000 (0.971)	Recall 0.974 (0.950)
Epoch:[0][22600/28412]	Time 0.266 (1.295)	Data 0.000 (1.100)	Loss 0.002 (0.011)	Accuracy 1.000 (0.997)	Precison 1.000 (0.971)	Recall 0.996 (0.950)
Epoch:[0][22800/28412]	Time 0.171 (1.294)	Data 0.000 (1.099)	Loss 0.009 (0.011)	Accuracy 0.998 (0.997)	Precison 0.972 (0.971)	Recall 0.995 (0.950)
Epoch:[0][23000/28412]	Time 0.186 (1.294)	Data 0.000 (1.099)	Loss 0.007 (0.011)	Accuracy 0.997 (0.997)	Precison 0.942 (0.971)	Recall 0.992 (0.950)
Epoch:[0][23200/28412]	Time 0.175 (1.293)	Data 0.000 (1.098)	Loss 0.011 (0.011)	Accuracy 0.997 (0.997)	Precison 0.988 (0.971)	Recall 0.961 (0.951)
